iter	Passed	Remaining
400	27475	6783
401	27535	6712
402	27588	6640
403	27638	6567
404	27686	6494
405	27742	6423
406	27793	6350
407	27846	6279
408	27894	6206
409	27949	6135
410	27999	6063
411	28052	5991
412	28102	5919
413	28153	5848
414	28204	5776
415	28254	5705
416	28313	5635
417	28369	5565
418	28418	5493
419	28466	5422
420	28515	5350
421	28565	5279
422	28614	5208
423	28665	5138
424	28715	5067
425	28765	4996
426	28816	4926
427	28865	4855
428	28915	4785
429	28963	4715
430	29022	4646
431	29082	4577
432	29142	4509
433	29191	4439
434	29246	4370
435	29305	4301
436	29358	4232
437	29410	4163
438	29463	4094
439	29519	4025
440	29572	3956
441	29625	3887
442	29683	3819
443	29740	3751
444	29792	3682
445	29845	3613
446	29898	3544
447	29947	3476
448	29997	3407
449	30049	3338
450	30098	3270
451	30155	3202
452	30215	3134
453	30270	3067
454	30319	2998
455	30370	2930
456	30418	2862
457	30470	2794
458	30519	2726
459	30568	2658
460	30617	2590
461	30667	2522
462	30717	2454
463	30784	2388
464	30851	2322
465	30919	2255
466	30993	2190
467	31068	2124
468	31124	2057
469	31180	1990
470	31271	1925
471	31335	1858
472	31395	1792
473	31458	1725
474	31518	1658
475	31575	1592
476	31633	1525
477	31692	1458
478	31749	1391
479	31804	1325
480	31862	1258
481	31920	1192
482	31981	1125
483	32045	1059
484	32107	993
485	32164	926
486	32219	860
487	32275	793
488	32331	727
489	32388	660
490	32447	594
491	32503	528
492	32562	462
493	32616	396
494	32670	330
495	32730	263
496	32787	197
497	32842	131
498	32899	65
499	32955	0
