iter	Logloss
0	0.5471637871
1	0.4320631469
2	0.3469365268
3	0.2738309228
4	0.2311522115
5	0.1951898125
6	0.1677284594
7	0.1423707691
8	0.1240992914
9	0.109303891
10	0.09649978485
11	0.08645150961
12	0.07739261616
13	0.07052975625
14	0.06390042009
15	0.05846093731
16	0.05466477339
17	0.05106028599
18	0.04744611499
19	0.04425457215
20	0.04193770523
21	0.03996666809
22	0.03844711987
23	0.03720508413
24	0.03540606468
25	0.03399650838
26	0.03280884524
27	0.03132272247
28	0.03025391926
29	0.02931859784
30	0.02859890261
31	0.02788145296
32	0.02730927204
33	0.02658714744
34	0.02583283272
35	0.02528731199
36	0.02467286102
37	0.02419273348
38	0.02369499663
39	0.0232657056
40	0.02290180758
41	0.02258345551
42	0.02215082153
43	0.02179464793
44	0.02152815234
45	0.02093991285
46	0.02045892267
47	0.02016940912
48	0.01989182065
49	0.01962076999
50	0.01922227594
51	0.0189364047
52	0.01872928229
53	0.01842138752
54	0.01813050626
55	0.01797052334
56	0.01775711715
57	0.01751464811
58	0.01725785745
59	0.01696695405
60	0.01664316171
61	0.01644897654
62	0.01626706285
63	0.01605837169
64	0.01578449942
65	0.01563155748
66	0.01551937762
67	0.01534297014
68	0.01518339273
69	0.01497105011
70	0.0148115388
71	0.01465160387
72	0.01445470796
73	0.01432203057
74	0.01418752279
75	0.01403417286
76	0.01390872461
77	0.01377710079
78	0.01362281982
79	0.01353635623
80	0.01331772784
81	0.0131967042
82	0.01304261949
83	0.01295216103
84	0.0127735812
85	0.01270086234
86	0.01253409322
87	0.01237746548
88	0.01227389848
89	0.01216101561
90	0.0120694565
91	0.01197818503
92	0.01188905326
93	0.0118078818
94	0.01173385464
95	0.01162447287
96	0.01158150238
97	0.01144944629
98	0.01137142665
99	0.01134806455
100	0.01120853604
101	0.01112822247
102	0.01108379418
103	0.01105527112
104	0.01095591679
105	0.01085779284
106	0.01077611561
107	0.0106961917
108	0.01062802448
109	0.01055067792
110	0.01047266398
111	0.0103856698
112	0.01026022809
113	0.01023030413
114	0.01016646776
115	0.01009665334
116	0.01006226087
117	0.009969480448
118	0.009912554408
119	0.009857882964
120	0.009781654254
121	0.00971115042
122	0.009649166417
123	0.009618268758
124	0.009554649563
125	0.009486311492
126	0.009459725619
127	0.009407183435
128	0.009350451842
129	0.009303082145
130	0.009247732443
131	0.009198606558
132	0.009164089402
133	0.009082191098
134	0.009036437263
135	0.009036443397
136	0.008993080786
137	0.008950750808
138	0.008891958349
139	0.008855310361
140	0.008841639975
141	0.008802163675
